Order ID,Kode Minuman,Jumlah,Tanggal Order,Harga Satuan,Ukuran
O00061,P007,3,6/21/2024,10000,Small
O00061,P005,3,2/20/2024,8000,Regular
O00061,P002,8,6/27/2024,9000,Large
O00061,P005,4,6/13/2024,10000,Large
O00061,P006,3,7/7/2024,14000,Large
O00062,P001,8,4/5/2024,5000,Regular
O00062,P008,10,11/1/2024,10000,Small
O00062,P005,9,9/25/2024,8000,Regular
O00063,P008,1,7/2/2024,14000,Large
O00063,P007,4,1/23/2024,10000,Small
O00063,P002,8,7/12/2024,5000,Small
O00064,P008,8,2/12/2024,10000,Small
O00065,P001,4,4/12/2024,5000,Regular
O00065,P003,7,12/13/2024,8000,Regular
O00065,P004,7,7/5/2024,6000,Small
O00066,P007,8,3/1/2024,12000,Regular
O00066,P001,6,12/4/2024,5000,Regular
O00067,P006,8,1/23/2024,10000,Small
O00067,P002,4,8/7/2024,7000,Regular
O00068,P002,3,9/16/2024,7000,Regular
O00068,P004,2,1/4/2024,8000,Regular
O00068,P008,1,3/26/2024,12000,Regular
O00069,P001,2,8/26/2024,5000,Regular
O00069,P003,3,6/14/2024,6000,Small
O00069,P004,6,1/12/2024,6000,Small
O00069,P008,7,1/26/2024,12000,Regular
O00069,P002,3,5/27/2024,5000,Small
O00071,P001,1,6/25/2024,5000,Regular
O00072,P002,4,6/4/2024,5000,Small
O00073,P001,9,10/16/2024,5000,Regular
O00073,P006,8,8/27/2024,12000,Regular
O00073,P004,9,2/10/2024,6000,Small
O00073,P007,3,8/5/2024,14000,Large
O00073,P006,1,9/12/2024,12000,Regular
O00073,P002,7,10/14/2024,5000,Small
O00073,P006,7,10/29/2024,10000,Small
O00074,P007,3,10/7/2024,14000,Large
O00074,P003,1,4/23/2024,10000,Large
O00075,P002,8,11/22/2024,5000,Small
O00075,P004,7,9/19/2024,8000,Regular
O00075,P003,3,8/16/2024,10000,Large
O00075,P005,3,11/18/2024,8000,Regular
O00075,P002,8,7/30/2024,7000,Regular
O00075,P005,6,8/19/2024,8000,Regular
O00076,P003,6,5/7/2024,8000,Regular
O00076,P008,9,9/16/2024,12000,Regular
O00076,P003,6,3/9/2024,8000,Regular
O00077,P003,6,5/2/2024,8000,Regular
O00077,P003,2,3/23/2024,8000,Regular
O00078,P003,7,11/23/2024,6000,Small
O00078,P001,3,12/5/2024,3000,Small
O00078,P004,8,10/9/2024,6000,Small
O00078,P003,2,8/24/2024,10000,Large
O00079,P004,10,3/21/2024,8000,Regular
O00079,P004,10,8/2/2024,10000,Large
O00079,P007,5,4/7/2024,12000,Regular
O00080,P006,7,8/9/2024,14000,Large
O00081,P006,8,10/17/2024,10000,Small
O00082,P003,6,8/3/2024,6000,Small
O00082,P005,1,9/11/2024,8000,Regular
O00082,P008,7,12/18/2024,10000,Small
O00082,P007,2,8/20/2024,12000,Regular
O00083,P003,6,5/6/2024,10000,Large
O00083,P006,8,12/3/2024,12000,Regular
O00083,P006,2,2/11/2024,12000,Regular
O00083,P003,9,3/7/2024,6000,Small
O00083,P005,1,1/14/2024,8000,Regular
O00084,P006,9,12/14/2024,12000,Regular
O00084,P001,1,5/31/2024,3000,Small
O00085,P005,9,3/19/2024,6000,Small
O00086,P005,5,6/1/2024,10000,Large
O00086,P001,10,6/10/2024,5000,Regular
O00086,P004,6,7/1/2024,6000,Small
O00087,P008,10,9/4/2024,12000,Regular
O00087,P005,3,9/8/2024,10000,Large
O00087,P003,8,9/20/2024,8000,Regular
O00087,P004,2,7/6/2024,6000,Small
O00087,P001,2,7/7/2024,3000,Small
O00088,P005,10,7/4/2024,10000,Large
O00088,P003,4,1/13/2024,6000,Small
O00088,P008,10,2/29/2024,10000,Small
O00089,P003,1,3/22/2024,10000,Large
O00089,P004,8,1/14/2024,6000,Small
O00090,P006,6,3/24/2024,14000,Large
O00090,P005,2,7/28/2024,10000,Large
O00090,P002,7,9/28/2024,9000,Large
O00090,P001,5,12/7/2024,3000,Small
O00090,P004,6,6/23/2024,10000,Large
O00091,P008,3,6/29/2024,12000,Regular
O00092,P005,4,2/8/2024,8000,Regular
O00092,P005,5,5/16/2024,8000,Regular
O00092,P005,8,7/29/2024,8000,Regular
O00092,P003,3,12/26/2024,8000,Regular
O00092,P004,5,12/26/2024,8000,Regular
O00092,P005,7,3/19/2024,10000,Large
O00093,P002,2,3/25/2024,5000,Small
O00093,P002,4,5/27/2024,9000,Large
O00093,P004,2,1/20/2024,8000,Regular
O00093,P003,9,3/24/2024,6000,Small
O00093,P003,6,10/23/2024,10000,Large
O00094,P002,2,8/19/2024,5000,Small
O00095,P005,5,2/17/2024,6000,Small
O00095,P008,3,12/30/2024,10000,Small
O00095,P004,4,5/30/2024,10000,Large
O00095,P001,9,7/10/2024,3000,Small
O00096,P006,7,3/25/2024,14000,Large
O00096,P004,9,5/18/2024,6000,Small
O00096,P006,3,8/22/2024,12000,Regular
O00096,P002,2,5/25/2024,9000,Large
O00097,P005,3,12/10/2024,6000,Small
O00098,P007,7,2/12/2024,14000,Large
O00098,P006,7,6/14/2024,12000,Regular
O00098,P001,3,9/14/2024,3000,Small
O00098,P006,3,6/16/2024,12000,Regular
O00099,P002,7,11/18/2024,7000,Regular
O00099,P005,5,9/3/2024,6000,Small
O00099,P002,9,4/18/2024,9000,Large
O00099,P008,9,12/14/2024,12000,Regular
O00100,P007,7,5/10/2024,10000,Small
O00100,P004,3,7/4/2024,10000,Large
O00101,P007,9,8/11/2024,14000,Large
O00101,P002,1,11/11/2024,7000,Regular
O00102,P006,1,6/5/2024,14000,Large
O00102,P004,2,5/21/2024,6000,Small
O00102,P002,9,7/25/2024,7000,Regular
O00103,P006,7,10/18/2024,10000,Small
O00103,P002,2,1/29/2024,7000,Regular
O00104,P004,5,12/13/2024,10000,Large
O00104,P002,1,2/22/2024,7000,Regular
O00104,P004,1,7/23/2024,8000,Regular
O00104,P001,2,7/28/2024,3000,Small
O00104,P005,6,5/1/2024,10000,Large
O00104,P008,3,10/19/2024,10000,Small
O00105,P005,9,5/27/2024,6000,Small
O00105,P002,5,5/13/2024,9000,Large
O00105,P007,5,4/16/2024,12000,Regular
O00105,P005,5,4/6/2024,6000,Small
O00106,P005,6,6/29/2024,10000,Large
O00106,P001,9,10/15/2024,3000,Small
O00107,P001,10,4/22/2024,5000,Regular
O00108,P007,10,2/15/2024,12000,Regular
O00108,P003,3,6/12/2024,10000,Large
O00109,P007,1,4/21/2024,12000,Regular
O00109,P004,10,2/1/2024,8000,Regular
O00109,P004,10,8/15/2024,10000,Large
O00109,P002,5,6/27/2024,7000,Regular
O00109,P002,1,7/18/2024,7000,Regular
O00111,P004,6,11/21/2024,10000,Large
O00111,P006,7,10/28/2024,14000,Large
O00111,P007,8,10/20/2024,14000,Large
O00111,P002,3,7/21/2024,5000,Small
O00111,P006,5,6/23/2024,10000,Small
O00111,P005,5,2/25/2024,10000,Large
O00112,P007,3,8/28/2024,10000,Small
O00112,P008,6,1/16/2024,12000,Regular
O00113,P005,4,3/1/2024,6000,Small
O00113,P006,5,10/26/2024,12000,Regular
O00113,P005,2,3/28/2024,10000,Large
O00113,P006,7,5/14/2024,10000,Small
O00113,P008,4,4/15/2024,12000,Regular
O00113,P004,3,8/6/2024,8000,Regular
O00114,P004,3,12/11/2024,10000,Large
O00114,P007,6,8/29/2024,12000,Regular
O00114,P007,1,6/21/2024,10000,Small
O00114,P005,1,12/25/2024,8000,Regular
O00114,P007,9,3/12/2024,14000,Large
O00115,P001,8,5/15/2024,7000,Large
O00115,P002,10,3/19/2024,5000,Small
O00115,P005,9,10/1/2024,6000,Small
O00116,P003,4,6/6/2024,10000,Large
O00116,P001,4,2/5/2024,3000,Small
O00116,P005,9,5/29/2024,10000,Large
O00116,P004,4,8/4/2024,10000,Large
O00116,P004,9,3/31/2024,6000,Small
O00117,P006,6,5/3/2024,10000,Small
O00117,P005,9,8/29/2024,10000,Large
O00117,P001,6,7/22/2024,7000,Large
O00118,P004,8,1/5/2024,10000,Large
O00118,P001,5,11/7/2024,3000,Small
O00118,P006,1,3/20/2024,12000,Regular
O00118,P005,3,10/11/2024,6000,Small
O00118,P006,1,8/8/2024,12000,Regular
O00119,P003,7,2/15/2024,6000,Small
O00119,P008,9,8/6/2024,10000,Small
O00119,P003,4,6/20/2024,10000,Large
O00120,P004,3,5/29/2024,10000,Large
O00121,P003,1,8/6/2024,6000,Small
O00122,P007,5,3/20/2024,12000,Regular
O00122,P001,2,11/4/2024,3000,Small
O00122,P008,9,3/21/2024,12000,Regular
O00122,P005,3,5/22/2024,6000,Small
O00122,P008,8,3/21/2024,12000,Regular
O00123,P005,7,5/19/2024,10000,Large
O00123,P002,10,1/11/2024,9000,Large
O00124,P004,7,6/12/2024,8000,Regular
O00124,P001,4,7/22/2024,7000,Large
O00124,P007,4,8/28/2024,10000,Small
O00124,P005,7,8/27/2024,6000,Small
O00124,P002,10,11/30/2024,7000,Regular
O00125,P003,7,10/8/2024,10000,Large
O00125,P003,5,1/2/2024,8000,Regular
O00125,P006,8,10/14/2024,14000,Large
O00126,P008,9,5/5/2024,10000,Small
O00126,P008,1,7/3/2024,10000,Small
O00126,P005,5,10/26/2024,8000,Regular
O00126,P004,1,7/10/2024,10000,Large
O00126,P006,3,5/12/2024,12000,Regular
O00127,P002,10,1/24/2024,9000,Large
O00127,P006,1,7/6/2024,10000,Small
O00128,P001,4,6/3/2024,3000,Small
O00128,P004,9,8/11/2024,8000,Regular
O00128,P005,6,1/27/2024,6000,Small
O00128,P005,7,3/28/2024,10000,Large
O00128,P006,6,12/7/2024,14000,Large
O00129,P007,6,1/5/2024,10000,Small
O00129,P003,3,6/10/2024,8000,Regular
O00129,P004,2,10/24/2024,8000,Regular
O00129,P004,5,7/3/2024,10000,Large
O00130,P005,10,8/14/2024,6000,Small
O00130,P002,4,2/20/2024,7000,Regular
O00130,P004,8,4/11/2024,6000,Small
O00130,P004,8,2/10/2024,8000,Regular
O00131,P006,6,6/30/2024,10000,Small
O00131,P007,10,4/10/2024,14000,Large
O00131,P005,7,6/4/2024,8000,Regular
O00131,P002,1,3/12/2024,5000,Small
O00132,P006,2,7/24/2024,10000,Small
O00132,P001,2,6/7/2024,5000,Regular
O00132,P004,5,6/14/2024,10000,Large
O00132,P002,3,2/6/2024,7000,Regular
O00133,P003,3,5/10/2024,8000,Regular
O00133,P005,2,11/23/2024,8000,Regular
O00133,P002,9,8/9/2024,7000,Regular
O00134,P004,7,12/12/2024,10000,Large
O00134,P006,8,11/18/2024,10000,Small
O00135,P007,3,11/11/2024,14000,Large
O00135,P008,6,5/13/2024,12000,Regular
O00136,P007,6,3/11/2024,14000,Large
O00137,P002,6,3/15/2024,5000,Small
O00137,P007,6,4/24/2024,10000,Small
O00137,P006,3,7/16/2024,12000,Regular
O00137,P002,7,10/6/2024,7000,Regular
O00137,P001,7,3/7/2024,3000,Small
O00137,P005,1,2/29/2024,8000,Regular
O00138,P001,6,7/15/2024,5000,Regular
O00138,P003,7,9/13/2024,8000,Regular
O00138,P006,3,10/19/2024,12000,Regular
O00138,P003,3,9/3/2024,6000,Small
O00139,P008,6,4/2/2024,10000,Small
O00139,P008,5,3/20/2024,14000,Large
O00139,P008,8,7/13/2024,10000,Small
O00139,P007,9,12/8/2024,10000,Small
O00140,P005,2,8/28/2024,8000,Regular
O00140,P008,10,7/9/2024,12000,Regular
O00140,P001,10,1/26/2024,3000,Small
O00141,P008,1,5/31/2024,12000,Regular
O00141,P002,1,7/27/2024,7000,Regular
O00141,P007,5,3/3/2024,12000,Regular
O00141,P005,7,11/29/2024,6000,Small
O00141,P004,1,5/31/2024,6000,Small
O00141,P007,10,7/11/2024,14000,Large
O00142,P007,3,2/15/2024,10000,Small
O00142,P001,3,7/14/2024,7000,Large
O00142,P007,5,9/24/2024,12000,Regular
O00143,P006,7,3/17/2024,14000,Large
O00143,P004,4,4/4/2024,10000,Large
O00143,P005,1,8/20/2024,10000,Large
O00143,P006,8,2/4/2024,14000,Large
O00143,P008,8,1/5/2024,10000,Small
O00144,P006,2,3/23/2024,14000,Large
O00144,P006,8,2/21/2024,10000,Small
O00144,P004,8,3/19/2024,6000,Small
O00145,P004,5,2/11/2024,6000,Small
O00145,P008,4,6/18/2024,12000,Regular
O00146,P005,3,7/10/2024,6000,Small
O00146,P001,10,12/16/2024,3000,Small
O00146,P004,3,11/22/2024,10000,Large
O00147,P003,5,9/17/2024,8000,Regular
O00147,P005,1,7/29/2024,8000,Regular
O00147,P008,9,4/3/2024,12000,Regular
O00147,P003,7,8/6/2024,6000,Small
O00147,P002,4,5/10/2024,5000,Small
O00148,P007,10,2/19/2024,10000,Small
O00148,P004,9,1/19/2024,8000,Regular
O00148,P002,7,8/25/2024,7000,Regular
O00149,P005,4,9/22/2024,6000,Small
O00149,P007,4,4/17/2024,10000,Small
O00149,P002,4,8/12/2024,9000,Large
O00149,P004,3,9/23/2024,10000,Large
O00149,P003,1,1/27/2024,6000,Small
O00149,P001,4,5/23/2024,5000,Regular
O00150,P007,6,1/10/2024,14000,Large
O00151,P004,7,4/29/2024,10000,Large
O00151,P008,2,8/18/2024,14000,Large
O00151,P003,4,2/27/2024,6000,Small
O00151,P001,2,6/23/2024,5000,Regular
O00152,P005,5,4/11/2024,8000,Regular
O00152,P007,2,3/17/2024,10000,Small
O00152,P008,8,10/23/2024,10000,Small
O00153,P005,6,2/28/2024,10000,Large
O00153,P005,10,8/3/2024,10000,Large
O00153,P001,1,11/16/2024,7000,Large
O00154,P004,6,7/4/2024,10000,Large
O00154,P003,7,11/16/2024,6000,Small
O00154,P004,10,1/6/2024,10000,Large
O00154,P004,7,4/27/2024,8000,Regular
O00154,P002,3,11/15/2024,7000,Regular
O00154,P002,7,1/16/2024,7000,Regular
O00154,P006,7,9/24/2024,14000,Large
O00154,P007,1,11/19/2024,10000,Small
O00155,P003,8,12/19/2024,10000,Large
O00155,P002,10,9/1/2024,7000,Regular
O00156,P003,7,11/2/2024,10000,Large
O00156,P005,10,4/18/2024,10000,Large
O00156,P008,10,7/7/2024,10000,Small
O00156,P006,10,8/10/2024,14000,Large
O00156,P004,3,11/26/2024,10000,Large
O00157,P007,10,3/4/2024,10000,Small
O00157,P008,5,3/23/2024,14000,Large
O00157,P002,1,1/28/2024,5000,Small
O00158,P002,6,3/7/2024,9000,Large
O00159,P005,5,8/9/2024,10000,Large
O00159,P003,1,3/4/2024,10000,Large
O00159,P007,2,6/11/2024,12000,Regular
O00159,P007,4,4/17/2024,14000,Large
O00160,P002,8,5/6/2024,7000,Regular
O00160,P007,8,11/26/2024,12000,Regular
O00160,P001,9,3/17/2024,5000,Regular
O00160,P001,9,3/7/2024,7000,Large
O00160,P004,8,6/1/2024,10000,Large
O00160,P004,10,7/5/2024,10000,Large
O00161,P001,9,6/16/2024,7000,Large
O00161,P007,5,12/3/2024,12000,Regular
O00161,P008,4,1/7/2024,10000,Small
O00161,P003,8,3/2/2024,10000,Large
O00162,P006,1,8/22/2024,10000,Small
O00162,P005,2,9/19/2024,8000,Regular
O00162,P008,2,4/2/2024,10000,Small
O00162,P006,3,10/23/2024,14000,Large
O00162,P002,6,9/26/2024,9000,Large
O00162,P005,6,12/30/2024,6000,Small
O00163,P003,9,5/9/2024,6000,Small
O00163,P003,2,6/15/2024,10000,Large
O00164,P008,3,4/7/2024,10000,Small
O00164,P002,2,9/7/2024,5000,Small
O00164,P007,1,8/24/2024,14000,Large
O00164,P001,2,4/10/2024,5000,Regular
O00165,P004,6,7/5/2024,8000,Regular
O00165,P003,6,2/17/2024,6000,Small
O00165,P001,1,5/12/2024,7000,Large
O00165,P004,5,4/3/2024,6000,Small
O00166,P001,3,12/25/2024,7000,Large
O00166,P008,5,10/26/2024,10000,Small
O00166,P003,3,5/2/2024,6000,Small
O00166,P004,1,12/4/2024,10000,Large
O00167,P004,4,1/4/2024,10000,Large
O00167,P006,8,11/24/2024,12000,Regular
O00167,P004,2,1/2/2024,8000,Regular
O00168,P008,10,10/10/2024,12000,Regular
O00169,P004,1,7/13/2024,6000,Small
O00170,P006,7,9/25/2024,14000,Large
O00170,P001,1,3/14/2024,3000,Small
O00170,P006,3,12/15/2024,12000,Regular
O00170,P001,4,9/2/2024,7000,Large
O00170,P002,4,3/8/2024,9000,Large
O00171,P007,6,8/12/2024,14000,Large
O00171,P001,9,1/13/2024,7000,Large
O00171,P005,1,1/16/2024,10000,Large
O00172,P001,4,7/10/2024,7000,Large
O00172,P002,7,8/4/2024,9000,Large
O00173,P003,4,9/15/2024,6000,Small
O00173,P006,10,10/31/2024,14000,Large
O00173,P008,5,8/2/2024,12000,Regular
O00173,P002,7,5/20/2024,7000,Regular
O00173,P003,3,9/20/2024,6000,Small
O00174,P004,9,7/21/2024,6000,Small
O00174,P003,5,2/12/2024,10000,Large
O00175,P008,7,2/3/2024,14000,Large
O00175,P006,3,2/23/2024,10000,Small
O00175,P007,8,8/5/2024,14000,Large
O00175,P006,1,11/6/2024,12000,Regular
O00176,P005,5,2/21/2024,10000,Large
O00177,P006,10,12/11/2024,12000,Regular
O00177,P003,9,12/21/2024,8000,Regular
O00177,P008,8,9/2/2024,14000,Large
O00177,P007,7,4/9/2024,14000,Large
O00177,P008,9,10/9/2024,12000,Regular
O00179,P003,10,7/19/2024,6000,Small
O00181,P003,5,6/22/2024,8000,Regular
O00181,P007,1,5/22/2024,12000,Regular
O00182,P007,8,4/2/2024,12000,Regular
O00183,P003,7,6/14/2024,8000,Regular
O00183,P002,2,4/2/2024,5000,Small
O00183,P007,9,1/12/2024,14000,Large
O00183,P003,3,9/12/2024,8000,Regular
O00183,P007,8,6/30/2024,12000,Regular
O00183,P007,7,7/19/2024,10000,Small
O00183,P004,6,5/13/2024,8000,Regular
O00184,P003,1,10/10/2024,6000,Small
O00184,P005,9,6/21/2024,10000,Large
O00185,P003,4,5/13/2024,6000,Small
O00186,P004,2,3/30/2024,6000,Small
O00187,P002,9,1/1/2024,7000,Regular
O00187,P006,8,12/25/2024,14000,Large
O00187,P004,8,9/25/2024,8000,Regular
O00187,P001,1,3/8/2024,7000,Large
O00188,P004,4,12/7/2024,10000,Large
O00188,P007,1,10/12/2024,14000,Large
O00188,P001,5,10/7/2024,3000,Small
O00188,P002,3,5/17/2024,9000,Large
O00188,P007,1,5/20/2024,12000,Regular
O00188,P005,6,12/2/2024,6000,Small
O00189,P003,5,12/22/2024,8000,Regular
O00190,P001,6,9/7/2024,7000,Large
O00190,P003,9,11/29/2024,10000,Large
O00190,P008,1,12/25/2024,10000,Small
O00190,P003,2,9/3/2024,8000,Regular
O00190,P001,2,5/17/2024,5000,Regular
O00190,P001,4,2/17/2024,3000,Small
